age,annual_income,credit_score,tenure_months,monthly_charges,total_transactions,contract_type,support_tickets,churn
58,26083.0,800,36,71.63,134,0,1.0,1
71,58662.0,652,50,75.67,140,2,2.0,0
48,41385.0,695,43,45.75,140,2,3.0,0
34,29399.0,745,37,45.38,78,0,0.0,0
62,43361.0,580,15,84.83,39,2,4.0,1
27,55969.0,556,28,85.77,50,0,1.0,1
40,85368.0,573,18,43.23,36,0,0.0,1
58,70869.0,768,34,39.41,51,0,0.0,1
38,54856.0,641,22,62.83,35,1,2.0,1
42,81638.0,850,11,49.01,43,1,0.0,0
30,56392.0,640,58,48.6,122,0,4.0,1
30,39496.0,692,57,39.97,180,2,1.0,1
43,82416.0,787,13,55.63,46,0,0.0,0
55,64700.0,820,4,41.91,11,0,3.0,1
59,36329.0,824,22,43.09,41,0,1.0,0
43,51573.0,764,7,70.97,23,1,1.0,1
22,39238.0,751,43,63.9,129,2,1.0,0
41,30109.0,721,54,74.7,179,1,1.0,0
21,71671.0,734,24,32.02,82,2,2.0,0
43,89369.0,641,4,65.2,15,0,0.0,1
63,29825.0,622,28,106.51,82,0,2.0,1
49,65133.0,679,15,57.55,35,0,4.0,1
57,43288.0,668,1,81.49,3,0,0.0,1
21,46231.0,648,55,81.32,91,0,2.0,0
40,44336.0,728,3,82.3,11,1,1.0,1
52,39448.0,746,14,68.33,25,0,2.0,1
31,55873.0,686,38,76.32,88,1,1.0,0
41,40042.0,783,50,78.98,176,0,2.0,1
63,59868.0,600,57,77.71,170,0,2.0,0
44,54095.0,666,1,42.65,2,1,0.0,1
68,50698.0,629,38,30.85,101,0,3.0,1
46,38663.0,549,38,33.93,138,2,0.0,0
61,44618.0,674,21,59.6,49,1,3.0,0
47,68597.0,671,48,76.88,176,0,2.0,0
35,64016.0,785,29,42.91,49,2,1.0,0
34,37404.0,724,5,83.48,17,0,4.5,1
66,56787.0,608,49,54.95,177,0,0.0,0
70,68524.0,809,10,55.14,19,1,1.0,0
